id,text,topic
3531219,"I would buy vitamin supplements if they were chewable and I had some extra cash to spend on a want like this, which I do not.",
3531331,I would buy vitamin supplements if I needed them.  I do that a multi vitamin daily.,
3531520,I usually buy supplements when they are on sale at my local grocery store.,
3531058,"I used to use them, but I don't anymore.",
3531139,I use vitamin supplements to help maintain my healthy lifestyle.,
3531263,I use Deva brand at around $7 for 100,
3531477,I use B6 and fish oil supplements.,Wishes for specific composition
3531113,I typically buy a multivitamin and some other essential supplements.,
3531332,"I think vitamins are helpful, but i don't see a need that outweighs the cost personally",
3531267,"I think vitamins are good to take, but I don't want to spend a lot of momey on them",
3531141,i think vitamin supplements are a neccessity everyone should be taking them because 90 percent of people dont eat drink or exercise right it would probably keep people from breaking bones and being sick alot more then now,
3531453,I think they are helpful if one does not get enough vitamins from foods they consume.,
3531544,"I think they are good, depending on the brand and type.",
3531051,I think they are a waste of time with a proper diet.,
3531088,"I think they are a great way to ensure your diet is on point, but I don't believe they should be sold for more than $15 unless the product is that much greater tan the competition.",
3531298,"I think that they are very important, and I need to take more.",
3531118,I think many people who take vitamin supplements do not actually need them.,
3531251,I tend not to spend too much money on vitamin supplements because they are not necessary.,
3531639,I take Vitamin D and Vitamin B-12.,
3531131,I take Vitamin C all the time.,
3531275,"I take Thiamine and Magnesium, and I believe that supplements do improve my health.",
3531594,"I take them, but they are generic",
3531454,I take them on a daily basis already.,
3531119,I take prescribed vitamin D. That's it.,
3531097,I take multivitamins every other day,
3531290,i take a vitamin supplement everyday.,
3531100,I take a vitamin D daily.,
3531641,I take a daily women's vitamin,
3531582,I purchase generic brand vitamins from stores like Target and Walgreens.,
3531255,I prefer vitamin packs as I forget to take them otherwise,
3531216,I prefer to intake my nutrients naturally as opposed to through vitamins.,
3531342,"I prefer to get a variety of natural vitamins from foods I eat, but sometimes feel like I need to supplement with vitamins",
3531294,I prefer those designed with supplements designed for seniors.,
3531084,I pay around $5 for the good ones at the vitamin shops. The low in ones are around $2,
3531367,i only like chewables.,
3531111,"I now take camu camu powder as my form of vitamin c, because it is natural and thus makes it better for your body to absorb versus synthetic forms.",
3531127,I NO,No comments
3531062,i needed of them,
3531122,I mostly like liquid vitamins and have noticed my skin looks better when using them.,
3531542,I love them,Positive view of vitamins
3531117,i look for vegan options with the best value,
3531245,"I like to take some, just in case they are helpful.",
3531223,I like to take multi vitamins that cover mostly everything instead of taking several supplements.,
3531610,I like to get nutrition from food,
3531439,I like the all in one vitamin supplements,
3531221,I like that the supplements keep me balanced but they can be expensive,
3531053,i heard they were useless,
3531140,I have thought about buying a multivitamin over the last couple months but have yet to do so.,
3531624,"I have not had vitamins since I was a child, but maybe I will consume them again some day.",
3531343,I have no other thoughts.,
3531313,I have been taking a multi-vitamin daily for about 12 years.  I get large bottles (500+) of store-brand vitamins for about $10.  $10 for only 100 is too expensive.,
3531399,I hate the taste of them generally.,
3531530,"I generally prefer vitamin pills that have just 1-3 different vitamins/minerals in them to multi-vitamins, because I feel like with multivitamins; 1. It's too many vitamins to take and process in your body all at once, and 2. I believe that some should be",
3531450,I find them mistrustful because the FDA doesn't regulate them very well.,
3531528,I feel that vitamin supplements can get very expensive.,
3531043,I don't think I would ever pay more than 29.99 for any 100 pack of multi vitamins. Easy survey and I hope it helps your research.,
3531382,I don't take vitamin supplements.,
3531193,I don't like taking vitamins,
3531182,I don't know much about them,
3531381,I don't have any thoughts.,
3531163,I don't have any strong opinions other than that they are good for people that have a deficiency with a certain vitamin.,
3531446,I do take vitamin supplements but not the ones that you listed here.,
3531256,I do not have any other thoughts regarding vitamin supplements.,
3531199,I am very skeptical about vitamin supplements,
3531471,I am taking prenatal vitamins,
3531286,"I am somewhat suspicious of vitamin supplements, as many make claims that are not backed up by any reasonable studies.",
3531197,"I am not a regular user of vitamins, I go through phases.  I should be more regular.  I don't really pay much attention to price but 24 dollars would stop me.",
3531420,"I  used to use them but I stopped because I just didn't feel they were much benefit for me.  I think I would like to do more research on different kinds and try them again to see if they help, especially through the winter months.",
3531208,Helps me fit,Positive view of vitamins
3531072,h jlk,No comments
3531337,great task,No comments
3531380,good for me,Positive view of vitamins
3531101,gcvjhbjnl4,No comments
3531377,"At 58 and in excellent health I try to avoid any supplements, medications or additives to my diet. I have been blessed with excellent help and realize that there will come a time but not now. My father was taking 27 pills a day when he passed away.",
3531642,2er,No comments
